information,205
language,192
mail,183
university,179
time,178
list,171
address,165
english,159
http,156
linguistics,156
people,146
send,146
free,144
make,140
email,133
number,128
work,128
www,122
languages,119
find,118
fax,116
order,108
call,103
form,101
research,100
linguistic,99
state,99
world,98
years,98
subject,98
contact,97
de,96
money,94
word,91
message,91
ll,89
receive,88
phone,88
check,88
good,87
interested,86
day,86
year,86
working,85
case,85
include,85
ve,84
based,84
note,83
home,83
part,83
made,83
mailing,81
including,81
type,80
web,79
give,79
place,79
program,79
date,78
line,78
special,78
days,77
internet,76
back,76
service,75
american,75
full,74
system,74
business,74
ac,73
today,73
interest,72
remove,72
questions,72
john,71
found,70
related,70
site,69
linguist,69
usa,69
read,68
point,68
text,68
ago,67
week,67
book,67
cost,66
dear,66
making,66
simply,65
question,65
offer,63
received,63
general,63
data,62
ca,62
important,62
summary,61
long,61
